book,chapter,verse,word,strongs_ref,order
2_peter,1,20,of the,,657
2_peter,1,20,scripture,G1124,658
2_peter,1,20,is,G1096,660
2_peter,1,20,of any,,661
2_peter,1,20,private,G2398,662
2_peter,1,20,interpretation.,G1955,664
2_peter,1,21,For,G1063,667
2_peter,1,21,the,,668
2_peter,1,21,prophecy,G4394,669
2_peter,1,21,came,G5342,671
2_peter,1,21,not,G3756,673
2_peter,1,21,in old,,674
2_peter,1,21,time,G4218,675
2_peter,1,21,by the,,676
2_peter,1,21,will,G2307,677
2_peter,1,21,of,,678
2_peter,1,21,man:,G444,679
2_peter,1,21,but,G235,681
2_peter,1,21,holy,G40,683
2_peter,1,21,men,G444,685
2_peter,1,21,of,,686
2_peter,1,21,God,G2316,687
2_peter,1,21,spake,G2980,689
2_peter,1,21,as they were,,690
2_peter,1,21,moved,G5342,691
2_peter,1,21,by,G5259,693
2_peter,1,21,the,,694
2_peter,1,21,Holy,G40,695
2_peter,1,21,Ghost.,G4151,697
2_peter,2,1,But,G1161,1
2_peter,2,1,there,,2
2_peter,2,1,were,G1096,3
2_peter,2,1,false,,4
2_peter,2,1,prophets,G5578,5
2_peter,2,1,also,G2532,7
2_peter,2,1,among,G1722,9
2_peter,2,1,the,,10
2_peter,2,1,"people,",G2992,11
2_peter,2,1,even,G2532,13
2_peter,2,1,as,G5613,15
2_peter,2,1,there shall,,16
2_peter,2,1,be,G2071,17
2_peter,2,1,false,,18
2_peter,2,1,teachers,G5572,19
2_peter,2,1,among,G1722,21
2_peter,2,1,"you,",G5213,23
2_peter,2,1,who,G3748,25
2_peter,2,1,privily shall bring,,26
2_peter,2,1,in,G3919,27
2_peter,2,1,damnable,G684,29
2_peter,2,1,"heresies,",G139,31
2_peter,2,1,even,G2532,33
2_peter,2,1,denying,G720,35
2_peter,2,1,the,,36
2_peter,2,1,Lord,G1203,37
2_peter,2,1,that,,38
2_peter,2,1,bought,G59,39
2_peter,2,1,"them,",G846,41
2_peter,2,1,and,,42
2_peter,2,1,bring,G1863,43
2_peter,2,1,upon,,44
2_peter,2,1,themselves,G1438,45
2_peter,2,1,swift,G5031,47
2_peter,2,1,destruction.,G684,49
2_peter,2,2,And,G2532,52
2_peter,2,2,many,G4183,54
2_peter,2,2,shall,,55
2_peter,2,2,follow,G1811,56
2_peter,2,2,their,G846,58
2_peter,2,2,pernicious,,59
2_peter,2,2,ways;,G684,60
2_peter,2,2,by reason,,61
2_peter,2,2,of,G1223,62
2_peter,2,2,whom,G3739,64
2_peter,2,2,the,,65
2_peter,2,2,way,G3598,66
2_peter,2,2,of,,67
2_peter,2,2,truth,G225,68
2_peter,2,2,shall be evil spoken,,69
2_peter,2,2,of,G987,70
2_peter,2,2,.,,71
2_peter,2,3,And,G2532,73
2_peter,2,3,through,G1722,75
2_peter,2,3,covetousness,G4124,77
2_peter,2,3,shall they with,,78
2_peter,2,3,feigned,G4112,79
2_peter,2,3,words,G3056,81
2_peter,2,3,make,,82
2_peter,2,3,merchandise,G1710,83
2_peter,2,3,of,,84
2_peter,2,3,you:,G5209,85
2_peter,2,3,whose,G3739,87
2_peter,2,3,judgment,G2917,89
2_peter,2,3,now of a long,,90
2_peter,2,3,time,G1597,91
2_peter,2,3,lingereth,G691,93
2_peter,2,3,"not,",G3756,95
2_peter,2,3,and,G2532,97
2_peter,2,3,their,G846,99
2_peter,2,3,damnation,G684,101
2_peter,2,3,slumbereth,G3573,103
2_peter,2,3,not.,G3756,105
2_peter,2,4,For,G1063,108
2_peter,2,4,if,G1487,110
2_peter,2,4,God,G2316,112
2_peter,2,4,spared,G5339,114
2_peter,2,4,not,G3756,116
2_peter,2,4,the,,117
2_peter,2,4,angels,G32,118
2_peter,2,4,that,,119
2_peter,2,4,sinned,G264,120
2_peter,2,4,",",,121
2_peter,2,4,but,G235,122
2_peter,2,4,cast them down to,,123
2_peter,2,4,hell,G5020,124
2_peter,2,4,", and",,125
2_peter,2,4,delivered,G3860,126
2_peter,2,4,them into,,127
2_peter,2,4,chains,G4577,128
2_peter,2,4,of,,129
2_peter,2,4,"darkness,",G2217,130
2_peter,2,4,to be,,131
2_peter,2,4,reserved,G5083,132
2_peter,2,4,unto,G1519,134
2_peter,2,4,judgment;,G2920,136
2_peter,2,5,And,G2532,139
2_peter,2,5,spared,G5339,141
2_peter,2,5,not,G3756,143
2_peter,2,5,the,,144
2_peter,2,5,old,G744,145
2_peter,2,5,"world,",G2889,147
2_peter,2,5,but,G235,149
2_peter,2,5,saved,G5442,151
2_peter,2,5,Noah,G3575,153
2_peter,2,5,the,,154
2_peter,2,5,eighth,G3590,155
2_peter,2,5,"person, a",,156
2_peter,2,5,preacher,G2783,157
2_peter,2,5,of,,158
2_peter,2,5,"righteousness,",G1343,159
2_peter,2,5,bringing,,160
2_peter,2,5,in,G1863,161
2_peter,2,5,the,,162
2_peter,2,5,flood,G2627,163
2_peter,2,5,upon the,,164
2_peter,2,5,world,G2889,165
2_peter,2,5,of the,,166
2_peter,2,5,ungodly;,G765,167
2_peter,2,6,And,G2532,170
2_peter,2,6,turning,G5077,172
2_peter,2,6,the,,173
2_peter,2,6,cities,G4172,174
2_peter,2,6,of,,175
2_peter,2,6,Sodom,G4670,176
2_peter,2,6,and,G2532,178
2_peter,2,6,Gomorrha,G1116,180
2_peter,2,6,into,,181
2_peter,2,6,ashes,G5077,182
2_peter,2,6,condemned,G2632,184
2_peter,2,6,them with an,,185
2_peter,2,6,"overthrow,",G2692,186
2_peter,2,6,making,G5087,188
2_peter,2,6,them an,,189
2_peter,2,6,ensample,G5262,190
2_peter,2,6,unto those that after,,191
2_peter,2,6,should,G3195,192
2_peter,2,6,live,,193
2_peter,2,6,ungodly,G764,194
2_peter,2,6,;,,195
2_peter,2,7,And,G2532,197
2_peter,2,7,delivered,G4506,199
2_peter,2,7,just,G1342,201
2_peter,2,7,"Lot,",G3091,203
2_peter,2,7,vexed,G2669,205
2_peter,2,7,with,G5259,207
2_peter,2,7,the,,208
2_peter,2,7,filthy,G766,209
2_peter,2,7,conversation,G391,211
2_peter,2,7,of the,,212
2_peter,2,7,wicked:,G113,213
2_peter,2,8,(For that righteous,,217
2_peter,2,8,man,G1342,218
2_peter,2,8,dwelling,G1460,220
2_peter,2,8,among,G1722,222
2_peter,2,8,"them,",G846,224
2_peter,2,8,in,,225
2_peter,2,8,seeing,G990,226
2_peter,2,8,and,G2532,228
2_peter,2,8,"hearing,",G189,230
2_peter,2,8,vexed,G928,232
2_peter,2,8,his,,233
